EmployeeID,Name,Department,Salary,Age
1,Employee_1,Sales,61114,34
2,Employee_2,HR,57506,42
3,Employee_3,HR,90231,41
4,Employee_4,HR,95529,26
5,Employee_5,HR,99654,30
6,Employee_6,Finance,84902,43
7,Employee_7,HR,76794,39
8,Employee_8,Engineering,99773,30
9,Employee_9,Sales,71572,34
10,Employee_10,Finance,67648,36
11,Employee_11,HR,51242,32
12,Employee_12,Marketing,90634,39
13,Employee_13,HR,53252,38
14,Employee_14,Sales,71868,31
15,Employee_15,Finance,50784,43
16,Employee_16,Marketing,96940,28
17,Employee_17,Engineering,95902,34
18,Employee_18,Sales,67494,24
19,Employee_19,Engineering,50186,26
20,Employee_20,HR,97188,22
21,Employee_21,Sales,55470,39
22,Employee_22,Sales,88723,43
23,Employee_23,Engineering,68074,37
24,Employee_24,Sales,64928,23
25,Employee_25,Marketing,64810,39
